epoch,stage,clean_count,noisy_count,unvalue_count,clean_prob,noisy_prob,unvalue_prob
1,mask_warmup,4,4,0,0.500000,0.500000,0.000000
2,mask_warmup,4,4,0,0.500000,0.500000,0.000000
3,mask_warmup,4,4,0,0.500000,0.500000,0.000000
4,mask_warmup,4,4,0,0.500000,0.500000,0.000000
5,mask_warmup,4,4,0,0.500000,0.500000,0.000000
6,mask_warmup,4,4,0,0.500000,0.500000,0.000000
7,mask_warmup,4,4,0,0.500000,0.500000,0.000000
8,mask_warmup,4,4,0,0.500000,0.500000,0.000000
9,mask_warmup,4,4,0,0.500000,0.500000,0.000000
10,mask_warmup,4,4,0,0.500000,0.500000,0.000000
11,mask_warmup,4,4,0,0.500000,0.500000,0.000000
12,mask_warmup,4,4,0,0.500000,0.500000,0.000000
13,mask_warmup,4,4,0,0.500000,0.500000,0.000000
14,mask_warmup,4,4,0,0.500000,0.500000,0.000000
15,mask_warmup,4,4,0,0.500000,0.500000,0.000000
16,mask_warmup,4,4,0,0.500000,0.500000,0.000000
17,mask_warmup,4,4,0,0.500000,0.500000,0.000000
18,mask_warmup,4,4,0,0.500000,0.500000,0.000000
19,mask_warmup,4,4,0,0.500000,0.500000,0.000000
20,mask_warmup,4,4,0,0.500000,0.500000,0.000000
21,mask_warmup,4,4,0,0.500000,0.500000,0.000000
22,mask_warmup,4,4,0,0.500000,0.500000,0.000000
23,mask_warmup,4,4,0,0.500000,0.500000,0.000000
24,mask_warmup,4,4,0,0.500000,0.500000,0.000000
25,mask_warmup,4,4,0,0.500000,0.500000,0.000000
26,mask_warmup,4,4,0,0.500000,0.500000,0.000000
27,mask_warmup,4,4,0,0.500000,0.500000,0.000000
28,mask_warmup,4,4,0,0.500000,0.500000,0.000000
29,mask_warmup,4,4,0,0.500000,0.500000,0.000000
30,mask_warmup,4,4,0,0.500000,0.500000,0.000000
31,mask_warmup,4,4,0,0.500000,0.500000,0.000000
32,mask_warmup,4,4,0,0.500000,0.500000,0.000000
33,mask_warmup,4,4,0,0.500000,0.500000,0.000000
34,mask_warmup,4,4,0,0.500000,0.500000,0.000000
35,mask_warmup,4,4,0,0.500000,0.500000,0.000000
36,mask_warmup,4,4,0,0.500000,0.500000,0.000000
37,mask_warmup,4,4,0,0.500000,0.500000,0.000000
38,mask_warmup,4,4,0,0.500000,0.500000,0.000000
39,mask_warmup,4,4,0,0.500000,0.500000,0.000000
40,mask_warmup,4,4,0,0.500000,0.500000,0.000000
